transactionid,commitdate,ns,nm,nf,entropy,la,ld,lt,fix,ndev,pd,npt,exp,rexp,sexp,bug
4733,2006/3/4 8:21,1,1,1,0,0,0,96,0,1,0,1,16717,4460.17619,793,0
4736,2006/2/19 11:36,1,1,4,0,0,0,27,0,1,0,0.25,16595,4551.604762,690,0
4777,2006/3/4 8:19,1,4,6,0.484205869,0.148241206,0.371859296,66.33333333,0,1,18,0.5,16688,4431.17619,764,0
4778,2006/3/1 12:39,1,3,5,0.533563216,0.076687117,0.027607362,65.2,1,1,20,1,16670,4481.642857,751,0
4780,2006/6/10 10:08,2,252,1297,0.301270109,21,18,0,0,15,238874,0.276792598,20883,8223.622619,19576,0
4782,2006/4/27 14:10,2,6,7,0.358422906,0.136085627,0.764525994,93.42857143,1,8,349,1,17835,5373.442857,17835,1
4785,2006/2/12 11:38,2,19,55,0,0,0,49.12727273,0,1,0,0.018181818,16553,4559.828571,16553,1
4787,2006/3/20 13:59,1,1,2,0,0,0,59,0,1,0,0.5,16742,4422.388095,817,0
4792,2006/3/29 16:46,1,4,4,0.593228952,0.149829739,0.038592509,220.25,0,1,28,0.75,17422,5075.616667,1003,0
4794,2006/3/4 8:21,1,6,15,0.69743567,0.180371353,0.156498674,25.13333333,0,1,206,0.533333333,16716,4459.17619,792,0
4795,2006/2/19 11:36,1,1,4,0.678389825,0.12,0.146666667,18.75,0,1,28,0.25,16595,4551.604762,690,0
4818,2006/2/19 11:36,1,4,6,0,0,0,31.16666667,0,1,0,0.166666667,16626,4582.604762,721,0
4821,2006/3/4 8:21,1,2,6,0,0,0,36.16666667,0,1,0,0.166666667,16696,4439.17619,772,0
4823,2006/4/16 6:42,1,1,3,0,0,0,286.3333333,1,1,0,0.333333333,17806,5412.845238,1040,0
4826,2006/3/4 8:21,1,1,2,0,1.028753994,0.308306709,313,0,1,16,1,16696,4439.17619,772,0
4827,2006/2/19 11:36,1,4,8,0.340311247,0.427480916,0.297709924,81.875,0,1,55,0.25,16626,4582.604762,721,1
4830,2006/4/16 11:01,1,1,1,0,0.132743363,0.16519174,339,0,1,0,1,17815,5421.845238,1049,0
4835,2006/4/16 6:42,1,1,1,0,0.067524116,2.279742765,311,1,1,10,1,17807,5413.845238,1041,1
4841,2006/3/1 11:24,1,2,2,0.780501869,0.817409766,0.411889597,235.5,1,1,20,1,16655,4466.642857,736,0
4843,2006/2/13 8:08,1,2,3,0.625829242,0.14887218,0.066165414,221.6666667,0,1,3,0.333333333,16556,4521.761905,651,0
4852,2006/4/16 11:01,1,3,3,0.783550157,0.258064516,0.350806452,82.66666667,0,1,48,1,17814,5420.845238,1048,0
4863,2006/5/15 15:56,2,23,26,0.695650155,0.014675052,0.017819706,183.4615385,1,10,1734,0.461538462,18104,5526.65,18104,1
4866,2006/3/1 11:24,1,2,2,0.918295834,0.00280112,0.005602241,178.5,1,1,20,0.5,16664,4475.642857,745,0
4867,2006/2/19 11:36,1,4,10,0.628474622,0.1875,0.15530303,52.8,0,1,70,0.1,16608,4564.604762,703,1
4874,2006/4/6 14:46,1,1,1,0,0.265625,0.1875,128,1,1,8,1,17437,5081.711905,1006,0
4876,2006/3/20 14:00,1,4,5,0.665893205,0.86013986,0.342657343,57.2,0,1,715,1,16882,4562.388095,926,1
4879,2006/2/19 11:36,1,2,8,0,0.6,1.322222222,11.25,0,1,56,0.125,16587,4543.604762,682,1
4882,2006/2/13 8:08,1,1,1,0,0.006666667,0.006666667,150,0,1,1,1,16557,4522.761905,652,0
4889,2006/3/1 11:24,1,1,1,0,0,0,27,1,1,0,1,16655,4466.642857,736,1
4891,2006/4/27 14:10,2,4,6,0.604113288,0.189973615,0.142480211,126.3333333,1,5,597,1,17826,5364.442857,17826,1
4895,2006/3/1 12:39,1,1,1,0,0,0,133,1,1,0,1,16670,4481.642857,751,0
4898,2006/2/19 11:36,1,2,3,0,0,0,116,0,1,0,0.333333333,16631,4587.604762,726,1
4925,2006/4/16 11:01,1,1,1,0,0,0,235,0,1,0,1,17814,5420.845238,1048,0
4930,2006/2/19 11:36,1,4,6,0.677175406,0.320610687,0.248091603,43.66666667,0,1,42,0.166666667,16638,4594.604762,733,1
4938,2006/2/19 11:36,1,1,2,0,0,0,0,0,1,12,0.5,16631,4587.604762,726,0
4949,2006/3/1 11:24,1,2,2,0.28907946,1.014084507,0.098591549,35.5,1,1,27,1,16662,4473.642857,743,1
4969,2006/3/20 13:59,1,2,5,0.354737871,1.004166667,0.504166667,48,0,1,713,0.8,16824,4504.388095,871,1
4970,2005/8/7 15:59,1,3,4,0.147464825,0.798076923,0.865384615,26,0,1,406,0.5,15851,5789.333333,586,1
4971,2005/7/28 11:14,1,1,1,0,0,0,0,0,1,340,1,14640,4607.233333,514,0
4986,2005/8/7 15:59,1,1,7,0,0,0,5.857142857,0,1,0,0.142857143,15851,5789.333333,586,0
5000,2006/3/20 13:59,1,4,6,0,0,0,8,0,1,0,0.166666667,16816,4496.388095,863,0
5002,2006/3/20 13:59,1,4,8,0,0,0,10.875,0,1,0,0.125,16792,4472.388095,843,0
5011,2006/3/20 14:00,1,1,1,0,0,0,2,0,1,0,1,16897,4577.388095,938,0
5012,2006/3/20 13:59,1,2,3,0,0,0,22.66666667,0,1,0,0.333333333,16824,4504.388095,871,0
5140,2006/3/20 13:59,1,2,10,0,0,0,27.6,0,1,0,0.1,16776,4456.388095,831,0
5172,2005/7/6 16:40,1,1,1,0,0.277777778,0.277777778,18,0,1,171,1,14331,4411.016667,431,1
5173,2005/1/16 6:40,1,1,1,0,0,0,18,0,1,0,1,14022,6459.833333,406,0
5175,2004/9/24 9:19,1,3,4,0,0,0,60.5,0,1,0,0.25,11869,5364.833333,345,1
5179,2004/9/24 9:20,1,2,3,0,0,0,24,0,1,0,0.333333333,11876,5371.833333,350,0
5184,2006/3/20 13:59,1,2,10,0,0,0,24.5,0,1,0,0.1,16852,4532.388095,899,1
5187,2006/4/16 7:05,1,3,3,0.665009912,0.165178571,0.013392857,74.66666667,1,1,33,1,17810,5416.845238,1044,0
5189,2006/3/20 14:11,1,1,2,0.873981048,0.117647059,0.082352941,42.5,0,1,0,1,16899,4579.388095,940,0
5190,2006/3/20 13:59,1,6,18,0.770871638,0.308550186,0.087360595,59.77777778,0,1,630,0.5,16852,4532.388095,899,0
5191,2005/8/7 15:59,1,3,5,0.804445506,0.411764706,0.184313725,51,0,1,520,0.6,15827,5765.333333,562,0
5193,2005/8/6 12:39,2,8,14,0.94671417,0.074742268,0.072164948,27.71428571,0,1,2551,0.428571429,14998,4938.45,14998,0
5194,2005/1/16 6:39,1,9,13,0.875416256,0.086175943,0.08438061,42.84615385,0,1,1342,0.461538462,14021,6458.833333,405,0
5195,2004/9/24 9:19,1,7,21,0,0,0,34.57142857,0,1,0,0.047619048,11861,5356.833333,341,1
5216,2006/2/12 10:08,1,1,1,0,0.612903226,0.258064516,62,1,1,22,1,16497,4503.828571,594,0
5218,2005/9/4 9:43,2,5,6,0.670387455,0.109717868,0.10815047,106.3333333,0,7,365,0.833333333,16226,5911.4,16226,1
5219,2005/9/4 8:45,2,4,5,0.367110928,0.117647059,0.147058824,27.2,0,6,98,0.8,16122,5807.4,16122,0
5224,2005/7/28 3:11,2,3,3,0.71663572,0.106707317,0.076219512,109.3333333,0,6,211,1,14603,4570.233333,14603,1
5226,2004/11/29 13:49,2,3,4,0.911533991,0.032,0.056,31.25,1,1,261,1,13380,6179.816667,13380,0
5227,2004/10/31 4:43,1,4,5,0.424830868,0.012875536,0.025751073,46.6,1,1,185,0.6,11946,5228.916667,355,0
5234,2005/8/7 15:59,1,3,11,0.617522138,0.261016949,0.223728814,26.81818182,0,1,1674,0.363636364,15840,5778.333333,575,0
5244,2005/1/16 6:40,1,1,1,0,0.090909091,0.090909091,44,0,1,114,1,14023,6460.833333,407,0
5253,2006/3/20 14:00,1,4,6,0,0,0,11.66666667,0,1,0,0.166666667,16873,4553.388095,918,0
5306,2005/8/7 15:59,1,1,1,0,0,0,36,0,1,0,1,15827,5765.333333,562,0
5318,2004/9/24 9:20,1,1,2,0,0,0,27.5,0,1,0,0.5,11872,5367.833333,347,0
5335,2006/3/1 12:56,1,3,3,0.615231631,0.12173913,0.113043478,38.33333333,1,1,650,1,16676,4487.642857,757,0
5341,2005/8/7 15:59,1,1,2,0,0,0,42.5,0,1,0,0.5,15840,5778.333333,575,0
5358,2005/7/6 16:40,1,1,1,0,0,0,7,0,1,0,1,14331,4411.016667,431,0
5360,2006/4/6 14:44,2,5,5,0.793810048,0.129541864,0.048973144,126.6,1,3,69,0.4,17436,5080.711905,17436,0
5362,2006/3/1 12:56,1,1,1,0,0,0,12,1,1,0,1,16673,4484.642857,754,0
5367,2005/5/29 18:22,1,1,1,0,0,0,0,0,1,0,1,62,39,2,0
5368,2005/6/5 19:57,1,1,1,0,0.567567568,0.153153153,111,0,1,0,1,91,68,10,0
5369,2005/5/30 20:41,2,4,4,0.755754457,0.277777778,0.111111111,90,1,7,134,0.5,85,62,85,0
5370,2005/5/29 18:22,1,1,1,0,1.675675676,0,74,0,1,0,1,62,39,2,0
5371,2005/6/5 19:57,1,1,1,0,0,0,0,0,1,0,1,91,68,10,0
5372,2005/6/5 19:57,1,1,2,0.437733635,1.768041237,0,97,0,1,0,0.5,91,68,10,0
5373,2005/6/5 19:57,1,1,1,0,0,0,0,0,1,0,1,91,68,10,0
5375,2005/5/29 18:22,1,1,1,0,0,0,0,0,1,0,1,65,42,4,0
5377,2005/5/29 18:22,1,1,1,0,1.769230769,0,13,0,1,0,1,65,42,4,0
5378,2005/6/5 19:57,1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
5380,2005/6/5 19:57,1,1,1,0,0,0,0,0,1,0,1,109,86,27,0
